DOI,BC,NO2,PM10,PM2.5,O3,NOx,VOC,CO,SO2,AQI,ozone,NOX,NH3,AOD,VOCs,AQIPM2.5,AQINO2,BLSO2,PM,NO₂,PM2:5,NO,benzene,BBOA,HOA,OOA,O
https://doi.org/10.1007/s11869-020-00863-1,,,,"['-34.52', '-19.25', '-5.4', '-3.99']",,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/s10668-020-00994-6,,,,,,,,,,"['-38.34', '-53.9', '-43.6']",,,,,,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.05.0205,,"['-28.5', '-5.93', '-24.67', '-30.0', '-20.0']","['-6.76', '-13.66']","['51.75', '26.0', '-43.0', '-31.0', '-5.93', '-58.5', '-30.1', '-40.5', '-33.4', '-27.9', '-61.4', '60.0']","['51.75', '30.0', '14.3']",,,"['-40.3', '-64.8', '-54.3', '-6.76', '-5.93', '-13.66', '-4.58', '-65.2']",['-6.76'],['-7.8'],"['27.1', '8.9', '6.9']",,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.141978,,"['-6.0', '-7.0', '-8.0', '-20.0', '-15.0', '-25.0']","['-15.0', '34.0', '55.0', '56.0']","['-21.0', '-8.0', '-2.5', '-15.0']","['13.0', '75.0', '225.0', '56.0', '15.0', '525.0']",,,,,['-13.0'],,,,,,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.05.0239,,"['-30.0', '16.5']",,,,,,['-16.0'],,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.140278,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.envpol.2020.115682,,"['-39.9', '-25.1', '-43.9', '-27.4', '-46.8', '-41.6', '-47.2', '-59.1', '-65.0', '-25.6', '-34.8']","['-31.5', '-7.6', '-21.5', '4.0', '-6.0', '-31.0']","['-13.0', '-13.4']","['11.4', '-1.2', '-2.8', '14.7', '8.0', '2.4']",,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.139179,,['-35.0'],,"['-21.0', '-18.0', '-23.0', '-32.0']",['15.0'],,,"['-49.0', '-35.0']",['7.0'],,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/s10668-020-00898-5,,['-25.0'],"['-8.94', '-11.75', '-20.91']",['-23.5'],,,,['-14.99'],,,,,,,,,,,,,,,,,,,
http://dx.doi.org/10.3390/ijerph17145124,,,,,,,,,,,,,,,,,,,,,,,,,,,
