StudyStartDate;StudyEndDate;FirstAuthor;DOI;AdditionalDetails;City;Country;GeographicalRegion;methods;platform;StringencyIndex;NO2_prcnt_change;NO2_prcnt_change_er;NO2_ugm3_Reference_avg;NO2_ugm3_Reference_sd;NO2_ugm3_Lockdown_avg;NO2_ugm3_Lockdown_sd;NOX_prcnt_change;NOX_prcnt_change_er;NOX_ugm3_Reference_avg;NOX_ugm3_Reference_sd;NOX_ugm3_Lockdown_avg;NOX_ugm3_Lockdown_sd;CO_prcnt_change;CO_prcnt_change_er;CO_mgm3_Reference_avg;CO_mgm3_Reference_sd;CO_mgm3_Lockdown_avg;CO_mgm3_Lockdown_sd;PM25_prcnt_change;PM25_prcnt_change_er;PM25_ugm3_Reference_avg;PM25_ugm3_Reference_sd;PM25_ugm3_Lockdown_avg;PM25_ugm3_Lockdown_sd;PM10_prcnt_change;PM10_prcnt_change_er;PM10_ugm3_Reference_avg;PM10_ugm3_Reference_sd;PM10_ugm3_Lockdown_avg;PM10_ugm3_Lockdown_sd;O3_prcnt_change;O3_prcnt_change_er;O3_ugm3_Reference_avg;O3_ugm3_Reference_sd;O3_ugm3_Lockdown_avg;O3_ugm3_Lockdown_sd;SO2_prcnt_change;SO2_prcnt_change_er;SO2_ugm3_Reference_avg;SO2_ugm3_Reference_sd;SO2_ugm3_Lockdown_avg;SO2_ugm3_Lockdown_sd;NH3_prcnt_change;NH3_prcnt_change_er;NH3_ugm3_Reference_avg;NH3_ugm3_Reference_sd;NH3_ugm3_Lockdown_avg;NH3_ugm3_Lockdown_sd;NMVOCS_prcnt_change;NMVOCS_prcnt_change_er;NMVOCS_ugm3_Reference_avg;NMVOCS_ugm3_Reference_sd;NMVOCS_ugm3_Lockdown_avg;NMVOCS_ugm3_Lockdown_sd;AOD_prcnt_change;AOD_prcnt_change_er;AOD_Reference_avg;AOD_Reference_sd;AOD_Lockdown_avg;AOD_Lockdown_sd;BC_prcnt_change;BC_prcnt_change_er;BC_ugm3_Reference_avg;BC_ugm3_Reference_sd;BC_ugm3_Lockdown_avg;BC_ugm3_Lockdown_sd;AQI_prcnt_change;AQI_prcnt_change_er;AQI_Reference_avg;AQI_Reference_sd;AQI_Lockdown_avg;AQI_Lockdown_sd;BCFF_prcnt_change;BCFF_prcnt_change_er;BCFF_ugm3_Reference_avg;BCFF_ugm3_Reference_sd;BCFF_ugm3_Lockdown_avg;BCFF_ugm3_Lockdown_sd;BCWB_prcnt_change;BCWB_prcnt_change_er;BCWB_ugm3_Reference_avg;BCWB_ugm3_Reference_sd;BCWB_ugm3_Lockdown_avg;BCWB_ugm3_Lockdown_sd;NO3_prcnt_change;NO3_prcnt_change_er;NO3_ugm3_Reference_avg;NO3_ugm3_Reference_sd;NO3_ugm3_Lockdown_avg;NO3_ugm3_Lockdown_sd;SO4_prcnt_change;SO4_prcnt_change_er;SO4_ugm3_Reference_avg;SO4_ugm3_Reference_sd;SO4_ugm3_Lockdown_avg;SO4_ugm3_Lockdown_sd;OM_prcnt_change;OM_prcnt_change_er;OM_ugm3_Reference_avg;OM_ugm3_Reference_sd;OM_ugm3_Lockdown_avg;OM_ugm3_Lockdown_sd;PM1_prcnt_change;PM1_prcnt_change_er;PM1_ugm3_Reference_avg;PM1_ugm3_Reference_sd;PM1_ugm3_Lockdown_avg;PM1_ugm3_Lockdown_sd;BBOA_prcnt_change;BBOA_prcnt_change_er;BBOA_ugm3_Reference_avg;BBOA_ugm3_Reference_sd;BBOA_ugm3_Lockdown_avg;BBOA_ugm3_Lockdown_sd;HOA_prcnt_change;HOA_prcnt_change_er;HOA_ugm3_Reference_avg;HOA_ugm3_Reference_sd;HOA_ugm3_Lockdown_avg;HOA_ugm3_Lockdown_sd;OOA_prcnt_change;OOA_prcnt_change_er;OOA_ugm3_Reference_avg;OOA_ugm3_Reference_sd;OOA_ugm3_Lockdown_avg;OOA_ugm3_Lockdown_sd
2020-03-01;2020-03-31;Connerton, Patrick;10.3390/ijerph17145067;;Sao Paulo;Brazil;South America;Accounting for Effects of Meteorology, Atmospheric Chemistry, and Long-term Trends;both;44.0;-25.00;;31.58;;23.59;;;;;;;;-40.00;;0.66;;0.40;;-12.00;;13.91;;12.21;;;;;;;;;;34.67;;45.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-01;2020-03-31;Connerton, Patrick;10.3390/ijerph17145067;;LA;USA;North America;Accounting for Effects of Meteorology, Atmospheric Chemistry, and Long-term Trends;both;44.0;-38.00;;31.86;;19.67;;;;;;;;-24.00;;0.39;;0.30;;-37.00;;9.51;;6.12;;;;;;;;;;88.11;;80.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-01;2020-03-31;Connerton, Patrick;10.3390/ijerph17145067;;New York;USA;North America;Accounting for Effects of Meteorology, Atmospheric Chemistry, and Long-term Trends;both;44.0;-24.00;;35.88;;27.31;;;;;;;;-19.00;;0.36;;0.29;;-24.00;;7.26;;5.49;;;;;;;;;;51.01;;58.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-01;2020-03-31;Connerton, Patrick;10.3390/ijerph17145067;;Paris;France;Europe;Accounting for Effects of Meteorology, Atmospheric Chemistry, and Long-term Trends;both;67.17;-39.00;;41.80;;25.39;;;;;;;;-67.00;;0.27;;0.09;;-28.00;;17.15;;12.32;;;;;;;;;;52.50;;58.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-01;2020-04-16;Dantas, Guilherme;10.1016/j.scitotenv.2020.139085;Rio de Janeiro, Bangu;Rio de Janeiro;Brazil;South America;Direct Comparison to a Reference Period;Ground-based;54.39;-22.03;17.52;15.00;;11.00;;;;;;;;-28.97;13.11;0.46;;0.34;;;;;;;;-2.50;13.23;;;;;15.93;18.12;50.00;;45.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-01;2020-03-31;Dantas, Guilherme;10.1016/j.scitotenv.2020.139085;Rio de Janeiro, Iraja;Rio de Janeiro;Brazil;South America;Direct Comparison to a Reference Period;Ground-based;44.0;-14.93;41.56;30.00;;20.00;;;;;;;;;;;;;;;;;;;;-4.73;14.43;;;;;22.57;9.15;40.00;;35.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-01;2020-03-31;Dantas, Guilherme;10.1016/j.scitotenv.2020.139085;Rio de Janeiro, Tijuca;Rio de Janeiro;Brazil;South America;Direct Comparison to a Reference Period;Ground-based;44.0;;;;;;;;;;;;;-22.27;31.04;0.40;;0.23;;;;;;;;-1.90;29.60;;;;;58.03;12.32;30.00;;35.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-01;2020-04-14;Dhaka, Surendra K.;10.1038/s41598-020-70179-8;;Delhi;India;South Asia;Accounting for Effects of Meteorology, Atmospheric Chemistry, and Long-term Trends;Ground-based;68.8;-55.00;15.00;;;;;;;;;;;;;;;;;;;70.00;;37.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-01;2020-02-29;Diamond, Michael S.;10.1029/2020GL088913;China;other;China;East Asia;Accounting for Effects of Meteorology, Atmospheric Chemistry, and Long-term Trends;Satellites;49.84;-50.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-20;2020-04-03;Faridi, Sasan;10.4209/aaqr.2020.05.0225;Tehran (22 stns);Tehran;Iran;West Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Ground-based;39.9;;;;;;;;;;;;;;;;;;;20.50;5.00;20.00;;24.10;;16.42;5.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
